SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
CM	CM-004	Georgia Strait	1968	NA	NA	NA	NA	NA	NA	675325.5599	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1969	NA	NA	NA	NA	NA	NA	486865.2826	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1970	NA	NA	NA	NA	NA	NA	478066.8476	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1971	NA	NA	NA	NA	NA	NA	294285.4612	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1972	NA	NA	NA	NA	NA	NA	632853.851	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1973	NA	NA	NA	NA	NA	NA	618264.9514	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1974	NA	NA	NA	NA	NA	NA	519724.5254	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1975	NA	NA	NA	NA	NA	NA	334229.4687	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1976	NA	NA	NA	NA	NA	NA	295309.1028	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1977	NA	NA	NA	NA	NA	NA	515572.1757	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1978	NA	NA	NA	NA	NA	NA	669366.0864	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1979	NA	NA	NA	NA	NA	NA	373056.2266	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1980	NA	NA	NA	NA	NA	NA	585861.1183	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1981	NA	NA	NA	NA	NA	NA	537083.7178	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1982	NA	NA	NA	NA	NA	NA	600125.9734	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1983	NA	NA	NA	NA	NA	NA	596075.4304	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1984	NA	NA	NA	NA	NA	NA	689225.4977	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1985	NA	NA	NA	NA	NA	NA	1082478.386	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1986	NA	NA	NA	NA	NA	NA	793881.0956	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1987	NA	NA	NA	NA	NA	NA	725398.4616	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1988	NA	NA	NA	NA	NA	NA	692829.8708	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1989	NA	NA	NA	NA	NA	NA	336423.6635	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1990	NA	NA	NA	NA	NA	NA	715291.5779	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1991	NA	NA	NA	NA	NA	NA	665022.0387	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1992	NA	NA	NA	NA	NA	NA	822599.4273	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1993	NA	NA	NA	NA	NA	NA	1101299.497	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1994	NA	NA	NA	NA	NA	NA	874966.611	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1995	NA	NA	NA	NA	NA	NA	406952.3719	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1996	NA	NA	NA	NA	NA	NA	390113.7651	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1997	NA	NA	NA	NA	NA	NA	565469.0157	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1998	NA	NA	NA	NA	NA	NA	1217503.005	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	1999	NA	NA	NA	NA	NA	NA	528944.0383	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2000	NA	NA	NA	NA	NA	NA	204611.9607	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2001	NA	NA	NA	NA	NA	NA	895000.2224	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2002	NA	NA	NA	NA	NA	NA	891491.6577	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2003	NA	NA	NA	NA	NA	NA	767021.1425	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2004	NA	NA	NA	NA	NA	NA	948559.5518	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2005	NA	NA	NA	NA	NA	NA	600984.8279	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2006	NA	NA	NA	NA	NA	NA	718849.4072	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2007	NA	NA	NA	NA	NA	NA	630823.6897	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2008	NA	NA	NA	NA	NA	NA	484391.0279	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2009	NA	NA	NA	NA	NA	NA	516362.2638	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2010	NA	NA	NA	NA	NA	NA	313907.1295	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2011	NA	NA	NA	NA	NA	NA	826501.7675	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2012	NA	NA	NA	NA	NA	NA	881641.0565	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2013	NA	NA	NA	NA	NA	NA	714061.3127	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2014	NA	NA	NA	NA	NA	NA	540672.9212	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2015	NA	NA	NA	NA	NA	NA	486086.963	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2016	NA	NA	NA	NA	NA	NA	1054587.446	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-004	Georgia Strait	2017	NA	NA	NA	NA	NA	NA	593230.372	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-003	Howe Sound-Burrard Inlet	1948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-003	Howe Sound-Burrard Inlet	1949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-003	Howe Sound-Burrard Inlet	1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-003	Howe Sound-Burrard Inlet	1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-003	Howe Sound-Burrard Inlet	1952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
